"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","trial","block","test_pos","test_inner_radius","test_outer_radius","ref_inner_radius","ref_outer_radius","test_bigger"
"31262.899999976158","{""p_id"":""6472"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}","survey-html-form","0","31267","0.0-0.0","","","","","","","","","","","","","",""
"16954.300000071526"," ","html-keyboard-response","1","48228","0.0-1.0","<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","","","","","","","","","","","","",""
"8896.600000023842","arrowleft","psychophysics","2","57149","0.0-2.0","","key","arrowleft","16.660442990654204","720","382","","","","","","","",""
"6593.100000023842","arrowright","psychophysics","3","63754","0.0-3.0-0.0","","key","arrowright","16.65481060606059","720","382","1","1","1","24","15","25","35","true"
"null","null","psychophysics","4","64757","0.0-3.0-1.0","","key","null","16.665999999999904","720","382","","","","","","","",""
"2117.9000000953674","arrowleft","psychophysics","5","66890","0.0-3.0-0.1","","key","arrowleft","16.666000000000075","720","382","2","1","-1","24","15","25","35","true"
"null","null","psychophysics","6","67894","0.0-3.0-1.1","","key","null","16.665999999999904","720","382","","","","","","","",""
"752.8000000715256","arrowleft","psychophysics","7","68655","0.0-3.0-0.2","","key","arrowleft","16.493282608695786","720","382","3","1","-1","26","15","25","35","true"
"null","null","psychophysics","8","69657","0.0-3.0-1.2","","key","null","16.665999999999904","720","382","","","","","","","",""
"964.2999999523163","arrowleft","psychophysics","9","70625","0.0-3.0-0.3","","key","arrowleft","16.665999999999993","720","382","4","1","-1","26","15","25","35","true"
"null","null","psychophysics","10","71630","0.0-3.0-1.3","","key","null","16.665999999999904","720","382","","","","","","","",""
"731.8000000715256","arrowleft","psychophysics","11","72366","0.0-3.0-0.4","","key","arrowleft","16.666000000000146","720","382","5","1","-1","23","35","25","35","true"
"null","null","psychophysics","12","73368","0.0-3.0-1.4","","key","null","16.665999999999904","720","382","","","","","","","",""
"3965.6999999284744","arrowleft","psychophysics","13","77340","0.0-3.0-0.5","","key","arrowleft","16.666000000000007","720","382","6","1","-1","27","15","25","35","true"
"null","null","psychophysics","14","78345","0.0-3.0-1.5","","key","null","16.665999999999904","720","382","","","","","","","",""
"776.1000000238419","arrowright","psychophysics","15","79124","0.0-3.0-0.6","","key","arrowright","16.670130434782628","720","382","7","1","-1","23","35","25","35","false"
"null","null","psychophysics","16","80126","0.0-3.0-1.6","","key","null","16.666000000000153","720","382","","","","","","","",""
