rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger
4224.9,"{""p_id"":""7024"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}",survey-html-form,0,4229,0.0-0.0,,,,,,,,,,,,,,
1346.8, ,html-keyboard-response,1,5583,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>",,,,,,,,,,,,,
2194.8,arrowright,psychophysics,2,7798,0.0-2.0,,key,arrowright,16.79452273,720,394.5,,,,,,,,
808.5,arrowright,psychophysics,3,8611,0.0-3.0-0.0,,key,arrowright,16.666,720,394.5,1,1,1,26,15,25,35,TRUE
null,null,psychophysics,4,9614,0.0-3.0-1.0,,key,null,16.666,720,394.5,,,,,,,,
974.2,arrowright,psychophysics,5,10596,0.0-3.0-0.1,,key,arrowright,16.666,720,394.5,2,1,-1,23,35,25,35,FALSE
null,null,psychophysics,6,11598,0.0-3.0-1.1,,key,null,16.666,720,394.5,,,,,,,,
696.9,arrowleft,psychophysics,7,12298,0.0-3.0-0.2,,key,arrowleft,16.666,720,394.5,3,1,-1,25,15,25,35,TRUE
null,null,psychophysics,8,13302,0.0-3.0-1.2,,key,null,16.666,720,394.5,,,,,,,,
1480.5,arrowleft,psychophysics,9,14788,0.0-3.0-0.3,,key,arrowleft,16.666,720,394.5,4,1,-1,30,15,25,35,TRUE
null,null,psychophysics,10,15790,0.0-3.0-1.3,,key,null,16.7577931,720,394.5,,,,,,,,
955,arrowright,psychophysics,11,16751,0.0-3.0-0.4,,key,arrowright,16.666,720,394.5,5,1,-1,20,35,25,35,FALSE
null,null,psychophysics,12,17753,0.0-3.0-1.4,,key,null,16.95334483,720,394.5,,,,,,,,
1111.8,arrowright,psychophysics,13,18867,0.0-3.0-0.5,,key,arrowright,16.666,720,394.5,6,1,-1,20,15,25,35,FALSE
null,null,psychophysics,14,19869,0.0-3.0-1.5,,key,null,16.666,720,394.5,,,,,,,,
2181.5,arrowleft,psychophysics,15,22053,0.0-3.0-0.6,,key,arrowleft,16.666,720,394.5,7,1,1,27,35,25,35,FALSE
null,null,psychophysics,16,23057,0.0-3.0-1.6,,key,null,16.666,720,394.5,,,,,,,,
837.2,arrowright,psychophysics,17,23900,0.0-3.0-0.7,,key,arrowright,16.666,720,394.5,8,1,1,26,15,25,35,TRUE
null,null,psychophysics,18,24903,0.0-3.0-1.7,,key,null,16.666,720,394.5,,,,,,,,
643.1,arrowleft,psychophysics,19,25550,0.0-3.0-0.8,,key,arrowleft,16.666,720,394.5,9,1,-1,30,35,25,35,TRUE
null,null,psychophysics,20,26552,0.0-3.0-1.8,,key,null,16.67047458,720,394.5,,,,,,,,
615.3,arrowleft,psychophysics,21,27170,0.0-3.0-0.9,,key,arrowleft,16.666,720,394.5,10,1,-1,30,35,25,35,TRUE
null,null,psychophysics,22,28173,0.0-3.0-1.9,,key,null,16.666,720,394.5,,,,,,,,
965.6,arrowleft,psychophysics,23,29148,0.0-3.0-0.10,,key,arrowleft,16.666,720,394.5,11,1,1,24,35,25,35,FALSE
null,null,psychophysics,24,30150,0.0-3.0-1.10,,key,null,16.666,720,394.5,,,,,,,,
859.3,arrowright,psychophysics,25,31012,0.0-3.0-0.11,,key,arrowright,16.666,720,394.5,12,1,-1,27,35,25,35,FALSE
null,null,psychophysics,26,32013,0.0-3.0-1.11,,key,null,16.666,720,394.5,,,,,,,,
736.2,arrowleft,psychophysics,27,32753,0.0-3.0-0.12,,key,arrowleft,16.666,720,394.5,13,1,-1,26,35,25,35,TRUE
null,null,psychophysics,28,33755,0.0-3.0-1.12,,key,null,16.666,720,394.5,,,,,,,,
609.1,arrowleft,psychophysics,29,34371,0.0-3.0-0.13,,key,arrowleft,16.666,720,394.5,14,1,-1,30,35,25,35,TRUE
null,null,psychophysics,30,35373,0.0-3.0-1.13,,key,null,16.666,720,394.5,,,,,,,,
941.6,arrowleft,psychophysics,31,36322,0.0-3.0-0.14,,key,arrowleft,16.66982143,720,394.5,15,1,1,24,35,25,35,FALSE
null,null,psychophysics,32,37325,0.0-3.0-1.14,,key,null,16.666,720,394.5,,,,,,,,
552.3,arrowright,psychophysics,33,37881,0.0-3.0-0.15,,key,arrowright,16.666,720,394.5,16,1,-1,27,15,25,35,FALSE
null,null,psychophysics,34,38884,0.0-3.0-1.15,,key,null,16.666,720,394.5,,,,,,,,
750.3,arrowright,psychophysics,35,39636,0.0-3.0-0.16,,key,arrowright,16.666,720,394.5,17,1,1,26,35,25,35,TRUE
null,null,psychophysics,36,40640,0.0-3.0-1.16,,key,null,16.666,720,394.5,,,,,,,,
616.9,arrowleft,psychophysics,37,41263,0.0-3.0-0.17,,key,arrowleft,16.666,720,394.5,18,1,1,24,35,25,35,FALSE
null,null,psychophysics,38,42264,0.0-3.0-1.17,,key,null,16.666,720,394.5,,,,,,,,
565.4,arrowleft,psychophysics,39,42832,0.0-3.0-0.18,,key,arrowleft,16.666,720,394.5,19,1,1,23,15,25,35,FALSE
null,null,psychophysics,40,43833,0.0-3.0-1.18,,key,null,16.666,720,394.5,,,,,,,,
761.3,arrowleft,psychophysics,41,44598,0.0-3.0-0.19,,key,arrowleft,16.666,720,394.5,20,1,-1,25,15,25,35,TRUE
null,null,psychophysics,42,45600,0.0-3.0-1.19,,key,null,16.666,720,394.5,,,,,,,,
806.9,arrowright,psychophysics,43,46413,0.0-3.0-0.20,,key,arrowright,16.67158333,720,394.5,21,1,1,26,15,25,35,TRUE
null,null,psychophysics,44,47415,0.0-3.0-1.20,,key,null,16.666,720,394.5,,,,,,,,
711.2,arrowright,psychophysics,45,48129,0.0-3.0-0.21,,key,arrowright,16.666,720,394.5,22,1,1,30,15,25,35,TRUE
null,null,psychophysics,46,49131,0.0-3.0-1.21,,key,null,16.666,720,394.5,,,,,,,,
1698.5,arrowright,psychophysics,47,50832,0.0-3.0-0.22,,key,arrowright,16.666,720,394.5,23,1,1,20,35,25,35,TRUE
null,null,psychophysics,48,51833,0.0-3.0-1.22,,key,null,16.666,720,394.5,,,,,,,,
1339,arrowleft,psychophysics,49,53180,0.0-3.0-0.23,,key,arrowleft,16.666,720,394.5,24,1,1,24,35,25,35,FALSE
null,null,psychophysics,50,54181,0.0-3.0-1.23,,key,null,16.666,720,394.5,,,,,,,,
2391.2,arrowright,psychophysics,51,56575,0.0-3.0-0.24,,key,arrowright,16.66824476,720,394.5,25,1,-1,23,15,25,35,FALSE
null,null,psychophysics,52,57576,0.0-3.0-1.24,,key,null,16.666,720,394.5,,,,,,,,
1949.3,arrowleft,psychophysics,53,59531,0.0-3.0-0.25,,key,arrowleft,16.666,720,394.5,26,1,-1,27,15,25,35,TRUE
null,null,psychophysics,54,60533,0.0-3.0-1.25,,key,null,16.666,720,394.5,,,,,,,,
546,arrowleft,psychophysics,55,61083,0.0-3.0-0.26,,key,arrowleft,16.666,720,394.5,27,1,-1,26,15,25,35,TRUE
null,null,psychophysics,56,62084,0.0-3.0-1.26,,key,null,16.666,720,394.5,,,,,,,,
876.5,arrowright,psychophysics,57,62963,0.0-3.0-0.27,,key,arrowright,16.666,720,394.5,28,2,-1,23,35,25,35,FALSE
null,null,psychophysics,58,63967,0.0-3.0-1.27,,key,null,16.666,720,394.5,,,,,,,,
4953.6,arrowright,html-keyboard-response,59,68922,0.0-3.0-2.27-0.27,"<div style=""color: white; text-align: center; vertical-align: top; display: inline-block; width: 800px; margin: auto""><p>You have completed 10% of the trials. You are on block 2 of 10. <br>Good job! Take a break if you need to.</p><p>Press any key to continue the experiment.</p></div>",,,,,,,,,,,,,
2889.4,arrowleft,psychophysics,60,72824,0.0-3.0-0.28,,key,arrowleft,16.66768966,720,394.5,29,2,-1,27,15,25,35,TRUE
null,null,psychophysics,61,73825,0.0-3.0-1.28,,key,null,16.666,720,394.5,,,,,,,,
814.1,arrowright,psychophysics,62,74642,0.0-3.0-0.29,,key,arrowright,16.666,720,394.5,30,2,1,27,35,25,35,TRUE
null,null,psychophysics,63,75653,0.0-3.0-1.29,,key,null,16.666,720,394.5,,,,,,,,
663.5,arrowleft,psychophysics,64,76319,0.0-3.0-0.30,,key,arrowleft,16.666,720,394.5,31,2,-1,26,35,25,35,TRUE
null,null,psychophysics,65,77320,0.0-3.0-1.30,,key,null,16.666,720,394.5,,,,,,,,
702,arrowright,psychophysics,66,78027,0.0-3.0-0.31,,key,arrowright,16.666,720,394.5,32,2,1,30,35,25,35,TRUE
null,null,psychophysics,67,79030,0.0-3.0-1.31,,key,null,16.79865517,720,394.5,,,,,,,,
834.7,arrowleft,psychophysics,68,79871,0.0-3.0-0.32,,key,arrowleft,16.666,720,394.5,33,2,-1,26,15,25,35,TRUE
null,null,psychophysics,69,80873,0.0-3.0-1.32,,key,null,16.666,720,394.5,,,,,,,,
578.7,arrowright,psychophysics,70,81458,0.0-3.0-0.33,,key,arrowright,16.666,720,394.5,34,2,-1,20,15,25,35,FALSE
null,null,psychophysics,71,82460,0.0-3.0-1.33,,key,null,16.666,720,394.5,,,,,,,,
500.6,arrowleft,psychophysics,72,82965,0.0-3.0-0.34,,key,arrowleft,16.666,720,394.5,35,2,-1,27,15,25,35,TRUE
null,null,psychophysics,73,83967,0.0-3.0-1.34,,key,null,16.666,720,394.5,,,,,,,,
534.3,arrowleft,psychophysics,74,84504,0.0-3.0-0.35,,key,arrowleft,16.666,720,394.5,36,2,-1,27,35,25,35,TRUE
null,null,psychophysics,75,85505,0.0-3.0-1.35,,key,null,16.666,720,394.5,,,,,,,,
545.1,arrowleft,psychophysics,76,86053,0.0-3.0-0.36,,key,arrowleft,16.666,720,394.5,37,2,1,26,15,25,35,FALSE
null,null,psychophysics,77,87054,0.0-3.0-1.36,,key,null,16.666,720,394.5,,,,,,,,
