"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"true","fullscreen","0","2654","0.0-0.0","","","","","","","",""
"","html-keyboard-response","1","4650","0.0-1.0","1995","Welcome to the experiment. Press any key to begin.","32","","","","",""
"","survey-html-form","2","16200","0.0-2.0","11547","","","{""p_id"":""0000"",""age"":""39"",""handedness"":""right"",""sex"":""male"",""other_sex"":""""}","","","",""
"","html-keyboard-response","3","20750","0.0-3.0","4549","<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>","32","","","","",""
"","html-keyboard-response","4","23757","0.0-4.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","5","24258","0.0-5.0","null","stimuli/images_hvm10/im64.png","","","null","64","0","3"
"","html-button-response","6","25741","0.0-6.0","1482","","","","0","","",""
"","html-keyboard-response","7","26742","0.0-7.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","8","27244","0.0-8.0","null","stimuli/images_hvm10/im70.png","","","null","70","3","0"
"","html-button-response","9","28053","0.0-9.0","807","","","","0","","",""
"","html-keyboard-response","10","29055","0.0-10.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","11","29556","0.0-11.0","null","stimuli/images_hvm10/im36.png","","","null","36","1","7"
"","html-button-response","12","30622","0.0-12.0","1065","","","","0","","",""
"","html-keyboard-response","13","31626","0.0-13.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","14","32127","0.0-14.0","null","stimuli/images_hvm10/im1.png","","","null","1","0","2"
"","html-button-response","15","32894","0.0-15.0","765","","","","0","","",""
"","html-keyboard-response","16","33899","0.0-16.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","17","34399","0.0-17.0","null","stimuli/images_hvm10/im69.png","","","null","69","3","1"
"","html-button-response","18","35286","0.0-18.0","886","","","","0","","",""
"","html-keyboard-response","19","36288","0.0-19.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","20","36791","0.0-20.0","null","stimuli/images_hvm10/im33.png","","","null","33","9","1"
"","html-button-response","21","37679","0.0-21.0","887","","","","1","","",""
"","html-keyboard-response","22","38679","0.0-22.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","23","39180","0.0-23.0","null","stimuli/images_hvm10/im68.png","","","null","68","1","3"
"","html-button-response","24","40080","0.0-24.0","898","","","","1","","",""
"","html-keyboard-response","25","41082","0.0-25.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","26","41584","0.0-26.0","null","stimuli/images_hvm10/im37.png","","","null","37","1","3"
"","html-button-response","27","43271","0.0-27.0","1687","","","","0","","",""
"","html-keyboard-response","28","44272","0.0-28.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","29","44777","0.0-29.0","null","stimuli/images_hvm10/im65.png","","","null","65","7","3"
"","html-button-response","30","45680","0.0-30.0","902","","","","1","","",""
"","html-keyboard-response","31","46682","0.0-31.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","32","47183","0.0-32.0","null","stimuli/images_hvm10/im66.png","","","null","66","4","3"
"","html-button-response","33","47801","0.0-33.0","617","","","","1","","",""
"","html-keyboard-response","34","48804","0.0-34.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","35","49306","0.0-35.0","null","stimuli/images_hvm10/im71.png","","","null","71","9","3"
"","html-button-response","36","49897","0.0-36.0","590","","","","1","","",""
"","html-keyboard-response","37","50901","0.0-37.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","38","51403","0.0-38.0","null","stimuli/images_hvm10/im21.png","","","null","21","1","3"
"","html-button-response","39","52081","0.0-39.0","678","","","","1","","",""
"","html-keyboard-response","40","53083","0.0-40.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","41","53584","0.0-41.0","null","stimuli/images_hvm10/im67.png","","","null","67","3","0"
"","html-button-response","42","54481","0.0-42.0","898","","","","0","","",""
"","html-keyboard-response","43","55485","0.0-43.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","44","55989","0.0-44.0","null","stimuli/images_hvm10/im4.png","","","null","4","0","3"
"","html-button-response","45","56634","0.0-45.0","644","","","","0","","",""
"","html-keyboard-response","46","57637","0.0-46.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","47","58138","0.0-47.0","null","stimuli/images_hvm10/im32.png","","","null","32","1","5"
"","html-button-response","48","58874","0.0-48.0","734","","","","0","","",""
"","html-keyboard-response","49","59876","0.0-49.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","50","60377","0.0-50.0","null","stimuli/images_hvm10/im20.png","","","null","20","1","6"
"","html-button-response","51","61073","0.0-51.0","696","","","","0","","",""
"","html-keyboard-response","52","62074","0.0-52.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","53","62576","0.0-53.0","null","stimuli/images_hvm10/im8.png","","","null","8","6","0"
"","html-button-response","54","63378","0.0-54.0","801","","","","1","","",""
"","html-keyboard-response","55","64379","0.0-55.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","56","64883","0.0-56.0","null","stimuli/images_hvm10/im38.png","","","null","38","1","4"
"","html-button-response","57","65851","0.0-57.0","968","","","","0","","",""
"","html-keyboard-response","58","66853","0.0-58.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","59","67355","0.0-59.0","null","stimuli/images_hvm10/im16.png","","","null","16","5","0"
"","html-button-response","60","68339","0.0-60.0","985","","","","1","","",""
"","html-keyboard-response","61","69341","0.0-61.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","62","69843","0.0-62.0","null","stimuli/images_hvm10/im9.png","","","null","9","6","0"
"","html-button-response","63","70492","0.0-63.0","649","","","","1","","",""
"","html-keyboard-response","64","71493","0.0-64.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","65","71997","0.0-65.0","null","stimuli/images_hvm10/im26.png","","","null","26","1","7"
"","html-button-response","66","73309","0.0-66.0","1309","","","","1","","",""
"","html-keyboard-response","67","74309","0.0-67.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","68","74812","0.0-68.0","null","stimuli/images_hvm10/im72.png","","","null","72","9","3"
"","html-button-response","69","75660","0.0-69.0","846","","","","1","","",""
"","html-keyboard-response","70","76665","0.0-70.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","71","77167","0.0-71.0","null","stimuli/images_hvm10/im75.png","","","null","75","3","0"
"","html-button-response","72","78084","0.0-72.0","916","","","","0","","",""
"","html-keyboard-response","73","79088","0.0-73.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","74","79589","0.0-74.0","null","stimuli/images_hvm10/im25.png","","","null","25","9","1"
"","html-button-response","75","80406","0.0-75.0","815","","","","1","","",""
"","html-keyboard-response","76","81408","0.0-76.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","77","81909","0.0-77.0","null","stimuli/images_hvm10/im34.png","","","null","34","8","1"
"","html-button-response","78","82509","0.0-78.0","600","","","","1","","",""
"","html-keyboard-response","79","83514","0.0-79.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","80","84015","0.0-80.0","null","stimuli/images_hvm10/im35.png","","","null","35","1","3"
"","html-button-response","81","84949","0.0-81.0","932","","","","0","","",""
"","html-keyboard-response","82","85952","0.0-82.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","83","86453","0.0-83.0","null","stimuli/images_hvm10/im74.png","","","null","74","6","3"
"","html-button-response","84","87286","0.0-84.0","833","","","","1","","",""
"","html-keyboard-response","85","88290","0.0-85.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","86","88792","0.0-86.0","null","stimuli/images_hvm10/im5.png","","","null","5","0","7"
"","html-button-response","87","89606","0.0-87.0","813","","","","0","","",""
"","html-keyboard-response","88","90609","0.0-88.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","89","91110","0.0-89.0","null","stimuli/images_hvm10/im6.png","","","null","6","0","2"
"","html-button-response","90","91910","0.0-90.0","800","","","","0","","",""
