"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"true","fullscreen","0","9977","0.0-0.0","","","","","","","",""
"","html-keyboard-response","1","12654","0.0-1.0","2675","Welcome to the experiment. Press any key to begin.","32","","","","",""
"","survey-html-form","2","21755","0.0-2.0","9099","","","{""p_id"":""39"",""age"":""0000"",""handedness"":""right"",""sex"":""male"",""other_sex"":""""}","","","",""
"","html-keyboard-response","3","29578","0.0-3.0","7821","<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>","32","","","","",""
"","html-keyboard-response","4","32582","0.0-4.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","5","33084","0.0-5.0","null","stimuli/images_hvm10/im76.png","","","null","76","3","0"
"","html-button-response","6","34033","0.0-6.0","947","","","","0","","",""
"","html-keyboard-response","7","35036","0.0-7.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","8","35538","0.0-8.0","null","stimuli/images_hvm10/im192.png","","","null","192","4","9"
"","html-button-response","9","36706","0.0-9.0","1168","","","","1","","",""
"","html-keyboard-response","10","37709","0.0-10.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","11","38213","0.0-11.0","null","stimuli/images_hvm10/im128.png","","","null","128","6","1"
"","html-button-response","12","39584","0.0-12.0","1369","","","","0","","",""
"","html-keyboard-response","13","40584","0.0-13.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","14","41085","0.0-14.0","null","stimuli/images_hvm10/im195.png","","","null","195","9","2"
"","html-button-response","15","41854","0.0-15.0","768","","","","0","","",""
"","html-keyboard-response","16","42859","0.0-16.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","17","43361","0.0-17.0","null","stimuli/images_hvm10/im194.png","","","null","194","3","9"
"","html-button-response","18","44563","0.0-18.0","1201","","","","1","","",""
"","html-keyboard-response","19","45565","0.0-19.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","20","46066","0.0-20.0","null","stimuli/images_hvm10/im193.png","","","null","193","7","9"
"","html-button-response","21","46780","0.0-21.0","714","","","","1","","",""
"","html-keyboard-response","22","47781","0.0-22.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","23","48286","0.0-23.0","null","stimuli/images_hvm10/im65.png","","","null","65","2","3"
"","html-button-response","24","49092","0.0-24.0","805","","","","1","","",""
"","html-keyboard-response","25","50095","0.0-25.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","26","50597","0.0-26.0","null","stimuli/images_hvm10/im198.png","","","null","198","7","9"
"","html-button-response","27","51332","0.0-27.0","734","","","","1","","",""
"","html-keyboard-response","28","52335","0.0-28.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","29","52837","0.0-29.0","null","stimuli/images_hvm10/im161.png","","","null","161","8","2"
"","html-button-response","30","53761","0.0-30.0","924","","","","0","","",""
"","html-keyboard-response","31","54763","0.0-31.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","32","55266","0.0-32.0","null","stimuli/images_hvm10/im74.png","","","null","74","9","3"
"","html-button-response","33","56133","0.0-33.0","865","","","","1","","",""
"","html-keyboard-response","34","57135","0.0-34.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","35","57639","0.0-35.0","null","stimuli/images_hvm10/im21.png","","","null","21","1","4"
"","html-button-response","36","58859","0.0-36.0","1218","","","","0","","",""
"","html-keyboard-response","37","59859","0.0-37.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
