count,experiment,ID,age,handedness,sex,other_sex,course,ntrials-same-20,ntrials-same-23,ntrials-same-24,ntrials-same-25,ntrials-same-26,ntrials-same-27,ntrials-same-30,ntrials-small-20,ntrials-small-23,ntrials-small-24,ntrials-small-25,ntrials-small-26,ntrials-small-27,ntrials-small-30,rt-same-20,rt-same-23,rt-same-24,rt-same-25,rt-same-26,rt-same-27,rt-same-30,rt-small-20,rt-small-23,rt-small-24,rt-small-25,rt-small-26,rt-small-27,rt-small-30,testbigger-same-20,testbigger-same-23,testbigger-same-24,testbigger-same-25,testbigger-same-26,testbigger-same-27,testbigger-same-30,testbigger-small-20,testbigger-small-23,testbigger-small-24,testbigger-small-25,testbigger-small-26,testbigger-small-27,testbigger-small-30,pse-same,pse-same-avefit,slope-same,slope-same-avefit,pse-small,pse-small-avefit,slope-small,slope-small-avefit
1,0,0264,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2276.5299999237063,1774.719999933243,3420.874999999999,4404.8550001144395,1538.264999866487,1357.0050000190733,1081.7199999809272,1260.409999895096,1601.684999990464,1974.234999942781,1132.0949999809268,1386.0849999427792,2520.374999904631,999.9550000190735,0.05,0.15,0.1,0.5,0.9,0.9,1.0,0.15,0.55,0.6,0.85,0.85,0.9,0.95,24.99919574946299,24.99231762651599,0.5775913173467058,0.1921818530881045,22.84631869466161,23.10621932607183,0.14433692016116084,0.153649371362767
2,0,1114,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,850.4500000000087,957.1999999999913,2113.6000000000176,817.8999999999884,1514.8500000000117,987.5000000000146,735.5499999999971,1204.049999999997,1224.8000000000059,786.4999999999942,1366.5499999999709,825.0499999999971,704.8000000000059,762.9000000000117,0.15,0.3,0.4,0.6,0.65,0.75,0.95,0.3,0.45,0.95,0.75,0.9,1.0,0.95,24.475541766139507,24.99231762651599,0.10938890428127837,0.1921818530881045,21.969520211550364,23.10621932607183,0.1372714654284545,0.153649371362767
3,0,1198,23,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1085.7550000190736,909.2100000143048,1077.3950000047678,1233.0649999856953,1045.6100000381473,1060.9899999856948,855.144999933243,1106.3099999666215,1096.910000038147,933.7850000143051,1073.8200000286101,1077.9899999618533,716.9800000190735,725.9349999427798,0.0,0.05,0.2,0.35,0.75,1.0,1.0,0.2,0.75,0.85,0.95,1.0,1.0,1.0,25.123620369849796,24.99231762651599,0.352092482833554,0.1921818530881045,21.712221405801586,23.10621932607183,0.2059234471633796,0.153649371362767
4,0,1313,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,596.7549999999999,696.7099999999998,845.485,723.9799999999999,817.4449999999999,730.1600000000001,643.3199999999999,807.0800000000002,662.595,841.7550000000001,645.01,754.7750000000002,600.7100000000002,497.16499999999985,0.05,0.2,0.5,0.6,0.7,0.8,0.95,0.2,0.65,0.75,1.0,0.85,1.0,0.95,24.579462145281273,24.99231762651599,0.13911605573829247,0.1921818530881045,22.032831810248695,23.10621932607183,0.17305736671177618,0.153649371362767
5,0,1456,20,left,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,518.790000005,469.4000000000001,632.7899999949999,590.65499999,450.475,540.1099999999999,473.8500000000001,506.29499999999996,877.5699999900002,533.604999995,473.46999998750005,676.65,561.039999985,545.65,0.6,0.65,0.35,0.45,0.65,0.6,0.5,0.15,0.1,0.2,0.2,0.1,0.05,0.15,19.243253833060727,24.99231762651599,0.09400381486277803,0.1921818530881045,30.98986669421346,23.10621932607183,0.5000377129640222,0.153649371362767
6,0,1921,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,741.1449999988079,908.5899999916553,715.5450000107288,943.5750000178814,820.1350000023842,855.5600000083447,916.5700000047684,850.6999999880791,861.8400000154973,945.3099999904632,962.1149999976158,864.869999986887,907.4300000190735,749.6499999940395,0.0,0.15,0.2,0.45,0.75,0.9,0.95,0.15,0.5,0.55,0.8,0.95,1.0,1.0,25.056758292396353,24.99231762651599,0.2560368334651155,0.1921818530881045,22.93540263424565,23.10621932607183,0.17603343221066242,0.153649371362767
7,0,2064,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1109.780000001192,1661.1200000017882,1478.8749999970198,1986.2500000014902,1798.465000002086,1363.254999999702,1033.7550000026822,1989.7099999949337,1414.405000001192,1447.6900000020862,1001.85,990.809999999404,918.0950000032783,769.6500000044704,0.0,0.1,0.25,0.55,0.4,0.85,1.0,0.35,0.8,0.85,1.0,1.0,1.0,1.0,25.417954072538198,24.99231762651599,0.206122769077307,0.1921818530881045,21.015414265893966,23.10621932607183,0.18356057194968559,0.153649371362767
8,0,3518,20,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,806.5500000000117,872.6000000000015,1233.7500000000073,1100.9499999999948,955.4500000000116,1362.4000000000058,924.2500000000146,813.1500000000051,1171.749999999997,1098.199999999997,1032.149999999992,1079.2500000000116,866.0499999999986,1026.7499999999986,0.05,0.05,0.1,0.3,0.65,0.9,0.95,0.0,0.35,0.5,0.8,0.85,0.8,0.95,25.5574567710094,24.99231762651599,0.3711732713939821,0.1921818530881045,23.938068828506175,23.10621932607183,0.18260688801545039,0.153649371362767
9,0,4007,20,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1313.2800000000002,1748.3149999999998,3215.145,2303.995,2744.575,2066.725,1056.2499999999998,3223.9949999999994,3055.560000000001,1891.73,1423.835,1449.8,1186.635,879.1149999999998,0.1,0.1,0.1,0.55,0.7,0.85,1.0,0.3,0.7,0.8,0.85,1.0,0.85,0.95,25.23181260352328,24.99231762651599,0.28663468090857214,0.1921818530881045,21.494404007716362,23.10621932607183,0.14045641838286252,0.153649371362767
10,0,5452,19,left,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,672.3299999993294,694.0149999992922,771.0799999998883,690.2050000002607,812.5550000006333,613.1999999992549,586.8499999992549,820.4150000000373,878.0600000005215,664.429999999702,654.6949999997393,566.2849999994039,563.1,556.7749999994412,0.0,0.1,0.25,0.65,0.85,0.85,0.9,0.1,0.8,0.8,0.95,0.85,0.9,0.95,24.718129910700675,24.99231762651599,0.3208104940304856,0.1921818530881045,22.019899514963047,23.10621932607183,0.27682326327727275,0.153649371362767
