ebbinghaus_data
rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger
60001.89999961850,"{""p_id"":""0264"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}",survey-html-form,0,60005,0.0-0.0,,,,,,,,,,,,,,
7344.39999961853,enter,html-keyboard-response,1,67352,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>",,,,,,,,,,,,,
29878.5,enter,psychophysics,2,97244,0.0-2.0,,key,enter,16.666812046848900,719.5,327,,,,,,,,
10972.39999961850,arrowleft,psychophysics,3,108225,0.0-3.0-0.0,,key,arrowleft,16.667346504559300,719.5,327,1,1,1,27,15,25,35,FALSE
null,null,psychophysics,4,109228,0.0-3.0-1.0,,key,null,16.666000000000200,719.5,327,,,,,,,,
9676.70000076294,arrowright,psychophysics,5,118913,0.0-3.0-0.1,,key,arrowright,16.666763793103400,719.5,327,2,1,-1,27,15,25,35,FALSE
null,null,psychophysics,6,119916,0.0-3.0-1.1,,key,null,16.665999999999900,719.5,327,,,,,,,,
9194.599999427800,arrowright,psychophysics,7,129120,0.0-3.0-0.2,,key,arrowright,16.666802536231900,719.5,327,3,1,-1,20,35,25,35,FALSE
null,null,psychophysics,8,130122,0.0-3.0-1.2,,key,null,16.665999999999900,719.5,327,,,,,,,,
20236.800000190700,arrowright,psychophysics,9,150365,0.0-3.0-0.3,,key,arrowright,16.666730420445200,719.5,327,4,1,-1,24,35,25,35,FALSE
null,null,psychophysics,10,151368,0.0-3.0-1.3,,key,null,16.665999999999900,719.5,327,,,,,,,,
5318.300000190740,arrowright,psychophysics,11,156693,0.0-3.0-0.4,,key,arrowright,16.666000000000100,719.5,327,5,1,-1,20,15,25,35,FALSE
null,null,psychophysics,12,157697,0.0-3.0-1.4,,key,null,16.665999999999900,719.5,327,,,,,,,,
18173.400000572200,arrowleft,psychophysics,13,175879,0.0-3.0-0.5,,key,arrowleft,16.666698165137600,719.5,327,6,1,-1,20,35,25,35,TRUE
null,null,psychophysics,14,176883,0.0-3.0-1.5,,key,null,16.665999999999900,719.5,327,,,,,,,,
4979.300000190740,arrowright,psychophysics,15,181869,0.0-3.0-0.6,,key,arrowright,16.667481605351200,719.5,327,7,1,-1,23,15,25,35,FALSE
null,null,psychophysics,16,182872,0.0-3.0-1.6,,key,null,16.665999999999900,719.5,327,,,,,,,,
6558.89999961853,arrowright,psychophysics,17,189436,0.0-3.0-0.7,,key,arrowright,16.667130102040800,719.5,327,8,1,1,27,15,25,35,TRUE
null,null,psychophysics,18,190437,0.0-3.0-1.7,,key,null,16.665999999999900,719.5,327,,,,,,,,
5577.199999809270,arrowleft,psychophysics,19,196020,0.0-3.0-0.8,,key,arrowleft,16.666000000000000,719.5,327,9,1,1,23,15,25,35,FALSE
null,null,psychophysics,20,197022,0.0-3.0-1.8,,key,null,16.6660000000004,719.5,327,,,,,,,,
9300.699999809270,arrowleft,psychophysics,21,206328,0.0-3.0-0.9,,key,arrowleft,16.66679533213640,719.5,327,10,1,1,24,35,25,35,FALSE
null,null,psychophysics,22,207331,0.0-3.0-1.9,,key,null,16.665999999999900,719.5,327,,,,,,,,
19921,arrowright,psychophysics,23,227260,0.0-3.0-0.10,,key,arrowright,16.666741422594100,719.5,327,11,1,1,25,35,25,35,TRUE
null,null,psychophysics,24,228263,0.0-3.0-1.10,,key,null,16.67138983050890,719.5,327,,,,,,,,
