rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger
17232,"{""p_id"":""7927"",""age"":""20"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}",survey-html-form,0,17235,0.0-0.0,,,,,,,,,,,,,,
18598,,html-keyboard-response,1,35842,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>",,,,,,,,,,,,,
12538,,psychophysics,2,48388,0.0-2.0,,key,,16.66711052,556,374,,,,,,,,
4049,arrowright,psychophysics,3,52445,0.0-3.0-0.0,,key,arrowright,16.64609053,556,374,1,1,-1,20,15,25,35,FALSE
null,null,psychophysics,4,53448,0.0-3.0-1.0,,key,null,16.6779661,556,374,,,,,,,,
1943,arrowright,psychophysics,5,55397,0.0-3.0-0.1,,key,arrowright,16.67241379,556,374,2,1,1,27,15,25,35,TRUE
null,null,psychophysics,6,56404,0.0-3.0-1.1,,key,null,16.66101695,556,374,,,,,,,,
3706,arrowright,psychophysics,7,60122,0.0-3.0-0.2,,key,arrowright,16.66666667,556,374,3,1,-1,23,35,25,35,FALSE
null,null,psychophysics,8,61125,0.0-3.0-1.2,,key,null,16.66101695,556,374,,,,,,,,
1020,arrowright,psychophysics,9,62158,0.0-3.0-0.3,,key,arrowright,16.57377049,556,374,4,1,-1,20,35,25,35,FALSE
null,null,psychophysics,10,63162,0.0-3.0-1.3,,key,null,16.63333333,556,374,,,,,,,,
4989,arrowright,psychophysics,11,68156,0.0-3.0-0.4,,key,arrowright,16.66778523,556,374,5,1,1,30,15,25,35,TRUE
null,null,psychophysics,12,69162,0.0-3.0-1.4,,key,null,16.63333333,556,374,,,,,,,,
925,arrowright,psychophysics,13,70091,0.0-3.0-0.5,,key,arrowright,16.66666667,556,374,6,1,1,30,35,25,35,TRUE
null,null,psychophysics,14,71096,0.0-3.0-1.5,,key,null,16.65,556,374,,,,,,,,
2321,arrowright,psychophysics,15,73420,0.0-3.0-0.6,,key,arrowright,16.66666667,556,374,7,1,-1,23,15,25,35,FALSE
null,null,psychophysics,16,74423,0.0-3.0-1.6,,key,null,16.66101695,556,374,,,,,,,,
809,arrowright,psychophysics,17,75240,0.0-3.0-0.7,,key,arrowright,16.58333333,556,374,8,1,-1,20,35,25,35,FALSE
null,null,psychophysics,18,76243,0.0-3.0-1.7,,key,null,16.6779661,556,374,,,,,,,,
1277,arrowleft,psychophysics,19,77530,0.0-3.0-0.8,,key,arrowleft,16.62337662,556,374,9,1,-1,24,15,25,35,TRUE
null,null,psychophysics,20,78533,0.0-3.0-1.8,,key,null,16.6779661,556,374,,,,,,,,
1307,arrowright,psychophysics,21,79844,0.0-3.0-0.9,,key,arrowright,16.66233766,556,374,10,1,1,25,15,25,35,TRUE
null,null,psychophysics,22,80849,0.0-3.0-1.9,,key,null,16.56666667,556,374,,,,,,,,
1138,arrowright,psychophysics,23,81992,0.0-3.0-0.10,,key,arrowright,16.65671642,556,374,11,1,-1,25,35,25,35,FALSE
null,null,psychophysics,24,82997,0.0-3.0-1.10,,key,null,16.65,556,374,,,,,,,,
1071,arrowleft,psychophysics,25,84072,0.0-3.0-0.11,,key,arrowleft,16.68253968,556,374,12,1,-1,26,35,25,35,TRUE
null,null,psychophysics,26,85075,0.0-3.0-1.11,,key,null,16.66101695,556,374,,,,,,,,
830,arrowright,psychophysics,27,85916,0.0-3.0-0.12,,key,arrowright,16.62,556,374,13,1,1,30,15,25,35,TRUE
null,null,psychophysics,28,86922,0.0-3.0-1.12,,key,null,16.66101695,556,374,,,,,,,,
1560,arrowright,psychophysics,29,88487,0.0-3.0-0.13,,key,arrowright,16.66666667,556,374,14,1,1,26,35,25,35,TRUE
null,null,psychophysics,30,89490,0.0-3.0-1.13,,key,null,16.6779661,556,374,,,,,,,,
1243,arrowleft,psychophysics,31,90736,0.0-3.0-0.14,,key,arrowleft,16.66216216,556,374,15,1,-1,26,15,25,35,TRUE
null,null,psychophysics,32,91739,0.0-3.0-1.14,,key,null,16.6440678,556,374,,,,,,,,
2553,arrowleft,psychophysics,33,94298,0.0-3.0-0.15,,key,arrowleft,16.65359477,556,374,16,1,-1,23,15,25,35,TRUE
null,null,psychophysics,34,95301,0.0-3.0-1.15,,key,null,16.6779661,556,374,,,,,,,,
