"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response_type","key_press","avg_frame_time","center_x","center_y","trial","block","test_pos","test_inner_radius","test_outer_radius","ref_inner_radius","ref_outer_radius","test_bigger"
"47198.70000001788","{""p_id"":""1387"",""age"":""19"",""handedness"":""left"",""sex"":""female"",""other_sex"":""""}","survey-html-form","0","47201","0.0-0.0","","","","","","","","","","","","","",""
"5571.4000000059605"," ","html-keyboard-response","1","52776","0.0-1.0","<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","","","","","","","","","","","","",""
"7665.4000000059605"," ","psychophysics","2","60471","0.0-2.0","","key"," ","16.70341648590022","720","410.5","","","","","","","",""
"4901.5999999940395","arrowright","psychophysics","3","65377","0.0-3.0-0.0","","key","arrowright","16.66600000000002","720","410.5","1","1","1","23","35","25","35","true"
"null","null","psychophysics","4","66380","0.0-3.0-1.0","","key","null","16.665999999999865","720","410.5","","","","","","","",""
"6633.4000000059605","arrowright","psychophysics","5","73018","0.0-3.0-0.1","","key","arrowright","16.668899244332493","720","410.5","2","1","-1","30","35","25","35","false"
"null","null","psychophysics","6","74020","0.0-3.0-1.1","","key","null","16.665999999999904","720","410.5","","","","","","","",""
"4713.5","arrowleft","psychophysics","7","78736","0.0-3.0-0.2","","key","arrowleft","16.666000000000018","720","410.5","3","1","1","30","15","25","35","false"
"null","null","psychophysics","8","79743","0.0-3.0-1.2","","key","null","16.665999999999904","720","410.5","","","","","","","",""
"892.1999999880791","arrowleft","psychophysics","9","80636","0.0-3.0-0.3","","key","arrowleft","16.66599999999991","720","410.5","4","1","1","24","15","25","35","false"
"null","null","psychophysics","10","81643","0.0-3.0-1.3","","key","null","16.665999999999904","720","410.5","","","","","","","",""
"739","arrowright","psychophysics","11","82387","0.0-3.0-0.4","","key","arrowright","16.665999999999755","720","410.5","5","1","-1","30","15","25","35","false"
"null","null","psychophysics","12","83394","0.0-3.0-1.4","","key","null","16.665999999999904","720","410.5","","","","","","","",""
