rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger
9363.6,"{""p_id"":""6991"",""age"":""19"",""handedness"":""left"",""sex"":""female"",""other_sex"":""""}",survey-html-form,0,9366,0.0-0.0,,,,,,,,,,,,,,
1490.3, ,html-keyboard-response,1,10857,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>",,,,,,,,,,,,,
62280.2, ,psychophysics,2,73152,0.0-2.0,,key, ,16.66623147,616.5,300.5,,,,,,,,
7841.8,arrowleft,psychophysics,3,80998,0.0-3.0-0.0,,key,arrowleft,16.66647447,616.5,300.5,1,1,-1,30,35,25,35,TRUE
null,null,psychophysics,4,82002,0.0-3.0-1.0,,key,null,16.66605085,616.5,300.5,,,,,,,,
2586.8,arrowright,psychophysics,5,84592,0.0-3.0-0.1,,key,arrowright,16.66603871,616.5,300.5,2,1,-1,23,15,25,35,FALSE
null,null,psychophysics,6,85601,0.0-3.0-1.1,,key,null,16.66610169,616.5,300.5,,,,,,,,
4620.5,arrowright,psychophysics,7,90227,0.0-3.0-0.2,,key,arrowright,16.66519856,616.5,300.5,3,1,1,20,35,25,35,TRUE
null,null,psychophysics,8,91232,0.0-3.0-1.2,,key,null,16.66610169,616.5,300.5,,,,,,,,
2822.1,arrowright,psychophysics,9,94058,0.0-3.0-0.3,,key,arrowright,16.66510651,616.5,300.5,4,1,1,23,35,25,35,TRUE
null,null,psychophysics,10,95068,0.0-3.0-1.3,,key,null,16.66571186,616.5,300.5,,,,,,,,
1352.9,arrowleft,psychophysics,11,96425,0.0-3.0-0.4,,key,arrowleft,16.66616049,616.5,300.5,5,1,-1,26,35,25,35,TRUE
null,null,psychophysics,12,97431,0.0-3.0-1.4,,key,null,16.66186441,616.5,300.5,,,,,,,,
2435.8,arrowright,psychophysics,13,99869,0.0-3.0-0.5,,key,arrowright,16.66675342,616.5,300.5,6,1,1,25,35,25,35,TRUE
null,null,psychophysics,14,100884,0.0-3.0-1.5,,key,null,16.66901695,616.5,300.5,,,,,,,,
3397.8,arrowleft,psychophysics,15,104285,0.0-3.0-0.6,,key,arrowleft,16.66613725,616.5,300.5,7,1,1,23,35,25,35,FALSE
null,null,psychophysics,16,105301,0.0-3.0-1.6,,key,null,16.65950847,616.5,300.5,,,,,,,,
1603.8,arrowleft,psychophysics,17,106909,0.0-3.0-0.7,,key,arrowleft,16.66689583,616.5,300.5,8,1,-1,25,15,25,35,TRUE
null,null,psychophysics,18,107917,0.0-3.0-1.7,,key,null,16.66820339,616.5,300.5,,,,,,,,
2343.6,arrowleft,psychophysics,19,110264,0.0-3.0-0.8,,key,arrowleft,16.66608571,616.5,300.5,9,1,1,20,35,25,35,FALSE
null,null,psychophysics,20,111267,0.0-3.0-1.8,,key,null,16.66528814,616.5,300.5,,,,,,,,
3393.8,arrowright,psychophysics,21,114665,0.0-3.0-0.9,,key,arrowright,16.66633005,616.5,300.5,10,1,1,25,15,25,35,TRUE
null,null,psychophysics,22,115667,0.0-3.0-1.9,,key,null,16.67232203,616.5,300.5,,,,,,,,
3092.3,arrowright,psychophysics,23,118764,0.0-3.0-0.10,,key,arrowright,16.66632432,616.5,300.5,11,1,-1,24,35,25,35,FALSE
null,null,psychophysics,24,119768,0.0-3.0-1.10,,key,null,16.66637288,616.5,300.5,,,,,,,,
3436.8,arrowleft,psychophysics,25,123209,0.0-3.0-0.11,,key,arrowleft,16.66529612,616.5,300.5,12,1,-1,24,15,25,35,TRUE
null,null,psychophysics,26,124218,0.0-3.0-1.11,,key,null,16.66630508,616.5,300.5,,,,,,,,
3257.8,arrowright,psychophysics,27,127480,0.0-3.0-0.12,,key,arrowright,16.66484615,616.5,300.5,13,1,1,26,15,25,35,TRUE
null,null,psychophysics,28,128484,0.0-3.0-1.12,,key,null,16.67235593,616.5,300.5,,,,,,,,
5862,arrowright,psychophysics,29,134349,0.0-3.0-0.13,,key,arrowright,16.6665641,616.5,300.5,14,1,-1,25,15,25,35,FALSE
null,null,psychophysics,30,135351,0.0-3.0-1.13,,key,null,16.66754237,616.5,300.5,,,,,,,,
3465.8,arrowright,psychophysics,31,138822,0.0-3.0-0.14,,key,arrowright,16.66638462,616.5,300.5,15,1,-1,24,35,25,35,FALSE
null,null,psychophysics,32,139834,0.0-3.0-1.14,,key,null,16.66581356,616.5,300.5,,,,,,,,
