run_id,condition,rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
32,1,31638.19999999553,"{""p_id"":""6555"",""age"":""23"",""handedness"":""right"",""sex"":""female"",""other_sex"":""}",survey-html-form,0,31643,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,18843.30000000447," ",html-keyboard-response,1,50495,0.0-1.0,"<p style=""color: white"">Welcome to the Size Judgment Experiment. <br>There will be 10 blocks in this experiment. <br>There will be 28 trials in each block. <br>You will be given a chance to take a break between blocks. <br>Press any key to start the experiment.</p>","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,18076.89999999851," ",psychophysics,2,68633,0.0-2.0,"""",key," ",16.698154696132594,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,6200.5,arrowright,psychophysics,3,74905,0.0-3.0-0.0,"""",key,arrowright,16.756741935483877,683,344.5,1,1,1,27,15,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,4,75911,0.0-3.0-1.0,"""",key,null,16.666000000000064,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,2596.60000000149,arrowleft,psychophysics,5,78519,0.0-3.0-0.1,"""",key,arrowleft,16.665999999999972,683,344.5,2,1,-1,26,15,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,6,79523,0.0-3.0-1.1,"""",key,null,16.665999999999904,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,6300.80000000447,arrowright,psychophysics,7,85836,0.0-3.0-0.2,"""",key,arrowright,16.667026455026452,683,344.5,3,1,-1,24,15,25,35,false,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,8,86845,0.0-3.0-1.2,"""",key,null,16.666000000000107,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,2730.7999999970198,arrowright,psychophysics,9,89584,0.0-3.0-0.3,"""",key,arrowright,16.66600000000003,683,344.5,4,1,-1,23,35,25,35,false,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,10,90589,0.0-3.0-1.3,"""",key,null,16.665999999999904,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,2754.7999999970198,arrowright,psychophysics,11,93355,0.0-3.0-0.4,"""",key,arrowright,16.668345454545467,683,344.5,5,1,1,27,15,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,12,94364,0.0-3.0-1.4,"""",key,null,16.665999999999865,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,2199.4000000059605,arrowright,psychophysics,13,96572,0.0-3.0-0.5,"""",key,arrowright,16.665999999999993,683,344.5,6,1,1,26,15,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,14,97575,0.0-3.0-1.5,"""",key,null,16.665999999999904,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,1385.2999999970198,arrowleft,psychophysics,15,98971,0.0-3.0-0.6,"""",key,arrowleft,16.666000000000068,683,344.5,7,1,-1,27,15,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,16,99978,0.0-3.0-1.6,"""",key,null,16.666000000000107,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,1145.6000000014901,arrowleft,psychophysics,17,101132,0.0-3.0-0.7,"""",key,arrowleft,16.672632352941196,683,344.5,8,1,1,20,35,25,35,false,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,18,102135,0.0-3.0-1.7,"""",key,null,16.665999999999904,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,904.7999999970198,arrowright,psychophysics,19,103047,0.0-3.0-0.8,"""",key,arrowright,16.666000000000185,683,344.5,9,1,1,24,35,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,20,104051,0.0-3.0-1.8,"""",key,null,16.665999999999865,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,1275.2999999970198,arrowleft,psychophysics,21,105333,0.0-3.0-0.9,"""",key,arrowleft,16.66599999999993,683,344.5,10,1,1,20,35,25,35,false,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,22,106343,0.0-3.0-1.9,"""",key,null,16.666000000000153,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,4692.69999999553,arrowleft,psychophysics,23,111050,0.0-3.0-0.10,"""",key,arrowleft,16.667450354609894,683,344.5,11,1,-1,27,35,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,null,null,psychophysics,24,112057,0.0-3.0-1.10,"""",key,null,16.665999999999904,683,344.5,"""","""","""","""","""","""","""","""","2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
32,1,925.8000000044703,arrowleft,psychophysics,25,112992,0.0-3.0-0.11,"""",key,arrowleft,16.666000000000086,683,344.5,12,1,-1,30,35,25,35,true,"2021-10-05 06:48:25",99.244.207.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",Macintosh,Chrome,94.0.4606.61,"OS X",10_13_6,fe3c1d035a65c549f7011c5446f73ede
