"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"true","fullscreen","0","2808","0.0-0.0","","","","","","","",""
"","html-keyboard-response","1","6599","0.0-1.0","3787.5","Welcome to the experiment. Press any key to begin.","32","","","","",""
"","survey-html-form","2","36279","0.0-2.0","29677.799999952316","","","{""p_id"":""1921"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}","","","",""
"","html-keyboard-response","3","173458","0.0-3.0","137177.59999990463","<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>","32","","","","",""
"","html-keyboard-response","4","176470","0.0-4.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","5","176980","0.0-5.0","null","stimuli/images_hvm10/im70.png","","","null","70","6","3"
"","html-button-response","6","179027","0.0-6.0","2044.9000000953674","","","","1","","",""
"","html-keyboard-response","7","180030","0.0-7.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","8","180535","0.0-8.0","null","stimuli/images_hvm10/im179.png","","","null","179","8","2"
"","html-button-response","9","183799","0.0-9.0","3261.699999809265","","","","0","","",""
"","html-keyboard-response","10","184804","0.0-10.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","11","185313","0.0-11.0","null","stimuli/images_hvm10/im191.png","","","null","191","4","9"
"","html-button-response","12","186513","0.0-12.0","1197.7000000476837","","","","1","","",""
"","html-keyboard-response","13","187521","0.0-13.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","14","188029","0.0-14.0","null","stimuli/images_hvm10/im152.png","","","null","152","0","7"
"","html-button-response","15","189386","0.0-15.0","1355.2000000476837","","","","1","","",""
"","html-keyboard-response","16","190391","0.0-16.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","17","190897","0.0-17.0","null","stimuli/images_hvm10/im153.png","","","null","153","2","7"
"","html-button-response","18","192263","0.0-18.0","1363.7000000476837","","","","1","","",""
"","html-keyboard-response","19","193266","0.0-19.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","20","193775","0.0-20.0","null","stimuli/images_hvm10/im161.png","","","null","161","2","8"
"","html-button-response","21","195718","0.0-21.0","1939.7999999523163","","","","1","","",""
"","html-keyboard-response","22","196724","0.0-22.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","23","197230","0.0-23.0","null","stimuli/images_hvm10/im195.png","","","null","195","9","3"
"","html-button-response","24","198561","0.0-24.0","1328.0999999046326","","","","0","","",""
"","html-keyboard-response","25","199566","0.0-25.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","26","200074","0.0-26.0","null","stimuli/images_hvm10/im143.png","","","null","143","7","8"
"","html-button-response","27","201792","0.0-27.0","1715.5","","","","1","","",""
"","html-keyboard-response","28","202797","0.0-28.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","29","203305","0.0-29.0","null","stimuli/images_hvm10/im137.png","","","null","137","6","3"
"","html-button-response","30","206224","0.0-30.0","2916.399999856949","","","","1","","",""
"","html-keyboard-response","31","207230","0.0-31.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","32","207739","0.0-32.0","null","stimuli/images_hvm10/im139.png","","","null","139","9","6"
"","html-button-response","33","209018","0.0-33.0","1275.7999999523163","","","","1","","",""
"","html-keyboard-response","34","210022","0.0-34.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","35","210530","0.0-35.0","null","stimuli/images_hvm10/im127.png","","","null","127","1","6"
"","html-button-response","36","212060","0.0-36.0","1528","","","","1","","",""
"","html-keyboard-response","37","213063","0.0-37.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","38","213569","0.0-38.0","null","stimuli/images_hvm10/im114.png","","","null","114","2","5"
"","html-button-response","39","215135","0.0-39.0","1563.1999998092651","","","","1","","",""
"","html-keyboard-response","40","216140","0.0-40.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","41","216647","0.0-41.0","null","stimuli/images_hvm10/im175.png","","","null","175","8","5"
"","html-button-response","42","218337","0.0-42.0","1687.5","","","","0","","",""
"","html-keyboard-response","43","219341","0.0-43.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","44","219847","0.0-44.0","null","stimuli/images_hvm10/im134.png","","","null","134","6","1"
"","html-button-response","45","221363","0.0-45.0","1512.5","","","","0","","",""
"","html-keyboard-response","46","222370","0.0-46.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","47","222878","0.0-47.0","null","stimuli/images_hvm10/im181.png","","","null","181","1","9"
"","html-button-response","48","224094","0.0-48.0","1213.2999999523163","","","","1","","",""
"","html-keyboard-response","49","225097","0.0-49.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","50","225605","0.0-50.0","null","stimuli/images_hvm10/im78.png","","","null","78","2","3"
"","html-button-response","51","226504","0.0-51.0","897.0999999046326","","","","1","","",""
"","html-keyboard-response","52","227510","0.0-52.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
