success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,button_pressed,images,left_choice,right_choice
TRUE,fullscreen,0,32761,0.0-0.0,,,,,,,,
,html-keyboard-response,1,34428,0.0-1.0,1663.3,Welcome to the experiment. Press any key to begin.,37,,,,,
,survey-html-form,2,74264,0.0-2.0,39832.7,,,"{""p_id"":""6472"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}",,,,
,html-keyboard-response,3,119249,0.0-3.0,44983.2,"<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>",39,,,,,
,html-keyboard-response,4,122258,0.0-4.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,5,122767,0.0-5.0,null,stimuli/images_hvm10/im127.png,,,null,127,9,6
,html-button-response,6,126189,0.0-6.0,3419.1,,,,0,,,
,html-keyboard-response,7,127196,0.0-7.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,8,127704,0.0-8.0,null,stimuli/images_hvm10/im152.png,,,null,152,6,7
,html-button-response,9,130997,0.0-9.0,3289.5,,,,1,,,
,html-keyboard-response,10,132000,0.0-10.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,11,132507,0.0-11.0,null,stimuli/images_hvm10/im7.png,,,null,7,3,0
,html-button-response,12,133422,0.0-12.0,913.4,,,,1,,,
,html-keyboard-response,13,134427,0.0-13.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,14,134931,0.0-14.0,null,stimuli/images_hvm10/im181.png,,,null,181,9,5
,html-button-response,15,135774,0.0-15.0,840.9000001,,,,0,,,
,html-keyboard-response,16,136779,0.0-16.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,17,137285,0.0-17.0,null,stimuli/images_hvm10/im187.png,,,null,187,9,6
,html-button-response,18,138200,0.0-18.0,912.4000001,,,,0,,,
,html-keyboard-response,19,139206,0.0-19.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,20,139712,0.0-20.0,null,stimuli/images_hvm10/im155.png,,,null,155,3,7
,html-button-response,21,140426,0.0-21.0,711.7,,,,1,,,
,html-keyboard-response,22,141431,0.0-22.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,23,141937,0.0-23.0,null,stimuli/images_hvm10/im177.png,,,null,177,8,1
,html-button-response,24,143782,0.0-24.0,1843.3,,,,1,,,
,html-keyboard-response,25,144786,0.0-25.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,26,145294,0.0-26.0,null,stimuli/images_hvm10/im165.png,,,null,165,8,9
,html-button-response,27,146599,0.0-27.0,1301.7,,,,0,,,
,html-keyboard-response,28,147603,0.0-28.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,29,148107,0.0-29.0,null,stimuli/images_hvm10/im55.png,,,null,55,9,2
,html-button-response,30,150810,0.0-30.0,2701,,,,1,,,
,html-keyboard-response,31,151815,0.0-31.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,32,152319,0.0-32.0,null,stimuli/images_hvm10/im184.png,,,null,184,1,9
,html-button-response,33,153128,0.0-33.0,806.6,,,,1,,,
,html-keyboard-response,34,154130,0.0-34.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,35,154636,0.0-35.0,null,stimuli/images_hvm10/im160.png,,,null,160,1,8
,html-button-response,36,155334,0.0-36.0,695.5,,,,1,,,
,html-keyboard-response,37,156337,0.0-37.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,38,156840,0.0-38.0,null,stimuli/images_hvm10/im194.png,,,null,194,4,9
,html-button-response,39,157604,0.0-39.0,761.5999999,,,,1,,,
,html-keyboard-response,40,158608,0.0-40.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,41,159115,0.0-41.0,null,stimuli/images_hvm10/im74.png,,,null,74,3,0
,html-button-response,42,160037,0.0-42.0,921.1999999,,,,0,,,
,html-keyboard-response,43,161040,0.0-43.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,44,161548,0.0-44.0,null,stimuli/images_hvm10/im156.png,,,null,156,7,3
,html-button-response,45,162632,0.0-45.0,1082,,,,0,,,
,html-keyboard-response,46,163638,0.0-46.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,47,164146,0.0-47.0,null,stimuli/images_hvm10/im175.png,,,null,175,6,8
,html-button-response,48,165346,0.0-48.0,1198.1,,,,1,,,
,html-keyboard-response,49,166353,0.0-49.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,50,166857,0.0-50.0,null,stimuli/images_hvm10/im68.png,,,null,68,7,3
,html-button-response,51,167830,0.0-51.0,970.4,,,,1,,,
,html-keyboard-response,52,168834,0.0-52.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,53,169342,0.0-53.0,null,stimuli/images_hvm10/im2.png,,,null,2,9,0
,html-button-response,54,170668,0.0-54.0,1323.4,,,,1,,,
,html-keyboard-response,55,171669,0.0-55.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,56,172170,0.0-56.0,null,stimuli/images_hvm10/im191.png,,,null,191,9,5
,html-button-response,57,172702,0.0-57.0,530.1999999,,,,0,,,
