object_recognition_data
success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,button_pressed,images,left_choice,right_choice
TRUE,fullscreen,0,22389,0.0-0.0,,,,,,,,
,html-keyboard-response,1,24433,0.0-1.0,2040.1000000089400,Welcome to the experiment. Press any key to begin.,13,,,,,
,survey-html-form,2,40490,0.0-2.0,16052.70000000300,,,"{""p_id"":""7823"",""age"":""19"",""handedness"":""right"",""sex"":""female"",""other_sex"":""""}",,,,
,html-keyboard-response,3,66992,0.0-3.0,26498.09999999400,"<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>",13,,,,,
,html-keyboard-response,4,69997,0.0-4.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,5,70503,0.0-5.0,null,stimuli/images_hvm10/im159.png,,,null,159,7,4
,html-button-response,6,71788,0.0-6.0,1280.8999999910600,,,,0,,,
,html-keyboard-response,7,72791,0.0-7.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,8,73296,0.0-8.0,null,stimuli/images_hvm10/im53.png,,,null,53,4,2
,html-button-response,9,74101,0.0-9.0,802.0999999940400,,,,1,,,
,html-keyboard-response,10,75104,0.0-10.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,11,75612,0.0-11.0,null,stimuli/images_hvm10/im98.png,,,null,98,8,4
,html-button-response,12,78953,0.0-12.0,3337.8999999910600,,,,0,,,
,html-keyboard-response,13,79956,0.0-13.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,14,80460,0.0-14.0,null,stimuli/images_hvm10/im76.png,,,null,76,3,6
,html-button-response,15,81286,0.0-15.0,824,,,,0,,,
,html-keyboard-response,16,82291,0.0-16.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,17,82797,0.0-17.0,null,stimuli/images_hvm10/im59.png,,,null,59,2,1
,html-button-response,18,83920,0.0-18.0,1119.5999999940400,,,,0,,,
,html-keyboard-response,19,84924,0.0-19.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,20,85430,0.0-20.0,null,stimuli/images_hvm10/im64.png,,,null,64,3,2
,html-button-response,21,86270,0.0-21.0,836.3000000119210,,,,0,,,
,html-keyboard-response,22,87275,0.0-22.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,23,87780,0.0-23.0,null,stimuli/images_hvm10/im66.png,,,null,66,3,8
,html-button-response,24,88639,0.0-24.0,855.9000000059610,,,,0,,,
,html-keyboard-response,25,89644,0.0-25.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,26,90147,0.0-26.0,null,stimuli/images_hvm10/im56.png,,,null,56,2,6
,html-button-response,27,91022,0.0-27.0,873.4000000059610,,,,0,,,
,html-keyboard-response,28,92024,0.0-28.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,29,92531,0.0-29.0,null,stimuli/images_hvm10/im90.png,,,null,90,4,8
,html-button-response,30,93611,0.0-30.0,1078.0999999940400,,,,0,,,
,html-keyboard-response,31,94614,0.0-31.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,32,95117,0.0-32.0,null,stimuli/images_hvm10/im12.png,,,null,12,1,0
,html-button-response,33,96740,0.0-33.0,1619.300000011920,,,,1,,,
,html-keyboard-response,34,97744,0.0-34.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,35,98249,0.0-35.0,null,stimuli/images_hvm10/im81.png,,,null,81,6,4
,html-button-response,36,99239,0.0-36.0,987.7000000029800,,,,1,,,
,html-keyboard-response,37,100242,0.0-37.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,38,100745,0.0-38.0,null,stimuli/images_hvm10/im86.png,,,null,86,4,7
,html-button-response,39,104274,0.0-39.0,3527.5999999940400,,,,1,,,
,html-keyboard-response,40,105277,0.0-40.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,41,105781,0.0-41.0,null,stimuli/images_hvm10/im23.png,,,null,23,4,1
,html-button-response,42,106471,0.0-42.0,688.6000000089410,,,,1,,,
,html-keyboard-response,43,107475,0.0-43.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,44,107977,0.0-44.0,null,stimuli/images_hvm10/im71.png,,,null,71,3,8
,html-button-response,45,108740,0.0-45.0,761.7999999970200,,,,0,,,
,html-keyboard-response,46,109742,0.0-46.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,47,110247,0.0-47.0,null,stimuli/images_hvm10/im80.png,,,null,80,4,9
,html-button-response,48,112122,0.0-48.0,1872.7000000029800,,,,0,,,
,html-keyboard-response,49,113125,0.0-49.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,50,113631,0.0-50.0,null,stimuli/images_hvm10/im35.png,,,null,35,1,3
,html-button-response,51,114475,0.0-51.0,841.8000000119210,,,,0,,,
,html-keyboard-response,52,115479,0.0-52.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,53,115983,0.0-53.0,null,stimuli/images_hvm10/im62.png,,,null,62,3,8
,html-button-response,54,116841,0.0-54.0,856.1000000089410,,,,0,,,
,html-keyboard-response,55,117844,0.0-55.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,56,118349,0.0-56.0,null,stimuli/images_hvm10/im125.png,,,null,125,6,9
,html-button-response,57,122225,0.0-57.0,3873.7000000029800,,,,0,,,
,html-keyboard-response,58,123227,0.0-58.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,image-button-response,59,123732,0.0-59.0,null,stimuli/images_hvm10/im126.png,,,null,126,4,6
,html-button-response,60,124473,0.0-60.0,739,,,,1,,,
,html-keyboard-response,61,125475,0.0-61.0,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
