"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","button_pressed","images","left_choice","right_choice"
"true","fullscreen","0","2589","0.0-0.0","","","","","","",""
"","html-keyboard-response","1","3829","0.0-1.0","1238","Welcome to the experiment. Press any key to begin.","32","","","",""
"","html-keyboard-response","2","5325","0.0-2.0","1495","<p>Please fixate at the center '+' sign which will appear once you press any key. Then, <strong> an image </strong> will be shown in the center of the screen.</p><p>The image will contain an object.This will be followed by a <strong> Choice Screen </strong> containing two objects. Please choose the option <strong>[Click on the object]</strong> that you think was present in the image<p>Press any key to begin.</p>","32","","","",""
"","html-keyboard-response","3","8326","0.0-3.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","4","8828","0.0-4.0","null","../stimuli/images_hvm10/im192.png","","null","192","9","5"
"","html-button-response","5","11995","0.0-5.0","3164.999999999998","","","0","","",""
"","html-keyboard-response","6","12997","0.0-6.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","7","13498","0.0-7.0","null","../stimuli/images_hvm10/im54.png","","null","54","2","0"
"","html-button-response","8","14092","0.0-8.0","591.9999999999982","","","1","","",""
"","html-keyboard-response","9","15093","0.0-9.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","10","15594","0.0-10.0","null","../stimuli/images_hvm10/im148.png","","null","148","4","7"
"","html-button-response","11","16201","0.0-11.0","606","","","0","","",""
"","html-keyboard-response","12","17202","0.0-12.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","13","17703","0.0-13.0","null","../stimuli/images_hvm10/im194.png","","null","194","7","9"
"","html-button-response","14","18292","0.0-14.0","588","","","0","","",""
"","html-keyboard-response","15","19293","0.0-15.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","16","19794","0.0-16.0","null","../stimuli/images_hvm10/im163.png","","null","163","5","8"
"","html-button-response","17","20395","0.0-17.0","600","","","1","","",""
"","html-keyboard-response","18","21397","0.0-18.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","19","21898","0.0-19.0","null","../stimuli/images_hvm10/im178.png","","null","178","9","8"
"","html-button-response","20","22457","0.0-20.0","557.9999999999964","","","0","","",""
"","html-keyboard-response","21","23458","0.0-21.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","22","23959","0.0-22.0","null","../stimuli/images_hvm10/im65.png","","null","65","7","3"
"","html-button-response","23","24521","0.0-23.0","560.9999999999964","","","1","","",""
"","html-keyboard-response","24","25523","0.0-24.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","25","26026","0.0-25.0","null","../stimuli/images_hvm10/im125.png","","null","125","6","4"
"","html-button-response","26","26757","0.0-26.0","729.9999999999964","","","0","","",""
"","html-keyboard-response","27","27759","0.0-27.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","28","28260","0.0-28.0","null","../stimuli/images_hvm10/im195.png","","null","195","2","9"
"","html-button-response","29","28889","0.0-29.0","628","","","1","","",""
"","html-keyboard-response","30","29890","0.0-30.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","31","30391","0.0-31.0","null","../stimuli/images_hvm10/im26.png","","null","26","1","5"
"","html-button-response","32","31312","0.0-32.0","920.0000000000036","","","0","","",""
"","html-keyboard-response","33","32314","0.0-33.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","34","32815","0.0-34.0","null","../stimuli/images_hvm10/im196.png","","null","196","2","9"
"","html-button-response","35","33350","0.0-35.0","534","","","0","","",""
"","html-keyboard-response","36","34351","0.0-36.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","37","34852","0.0-37.0","null","../stimuli/images_hvm10/im135.png","","null","135","9","6"
"","html-button-response","38","35511","0.0-38.0","658","","","1","","",""
"","html-keyboard-response","39","36513","0.0-39.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","40","37015","0.0-40.0","null","../stimuli/images_hvm10/im126.png","","null","126","9","6"
"","html-button-response","41","37626","0.0-41.0","610","","","1","","",""
"","html-keyboard-response","42","38627","0.0-42.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","43","39129","0.0-43.0","null","../stimuli/images_hvm10/im127.png","","null","127","6","1"
"","html-button-response","44","40045","0.0-44.0","915.0000000000073","","","0","","",""
"","html-keyboard-response","45","41047","0.0-45.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
